City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
106,Ghadamis,30.1337,9.5007,20.42,34,24,3.66,LY,1731195669
107,Kununurra,-15.7667,128.7333,31.99,70,75,2.57,AU,1731195670
108,Port lincoln,-34.7333,135.8667,16.61,70,62,6.5,AU,1731195672
109,Coron,11.9986,120.2043,28.32,77,10,1.81,PH,1731195674
110,Rio grande,-32.035,-52.0986,17.06,73,0,4.55,BR,1731195676
111,Ambovombe,-25.1667,46.0833,22.61,81,22,0.92,MG,1731195678
112,Usinsk,65.9939,57.5281,-10.55,93,20,5.35,RU,1731195586
113,Colares,38.7992,-9.4469,15.5,73,16,6.14,PT,1731195681
114,Namibe,-15.1961,12.1522,20.84,68,89,4.55,AO,1731195683
115,Pandan,14.0453,124.1694,27.32,88,100,5.95,PH,1731195685
116,Vallenar,-28.5708,-70.7581,14.77,64,1,1.65,CL,1731195686
117,Saint-philippe,-21.3585,55.7679,23.79,88,42,4.73,RE,1731195690
118,Ugoofaaru,5.6667,73.0,27.48,74,44,0.81,MV,1731195692
119,Smithers,54.7804,-127.1743,2.18,75,20,1.03,CA,1731195694
120,Puerto baquerizo moreno,-0.9,-89.6,20.93,74,41,4.39,EC,1731195695
121,Marsa alam,25.0757,34.8918,22.52,69,37,2.25,EG,1731195697
122,Hadibu,12.65,54.0333,25.55,81,84,4.36,YE,1731195699
123,Dryden,49.7833,-92.7503,10.16,53,75,4.63,CA,1731195701
124,Upper grand lagoon,30.1633,-85.7408,26.08,78,0,2.57,US,1731195703
125,Hermanus,-34.4187,19.2345,17.11,86,23,6.44,ZA,1731195704
126,Ronne,55.1009,14.7066,5.95,87,100,3.09,DK,1731195706
127,Rada tilly,-45.9333,-67.5333,18.27,20,0,12.86,AR,1731195708
128,Punta arenas,-53.15,-70.9167,9.06,81,40,1.54,CL,1731195710
129,Avarua,-21.2078,-159.775,24.03,57,75,6.17,CK,1731195712
130,Iqaluit,63.7506,-68.5145,-8.15,78,100,6.71,CA,1731195714
131,Klyuchi,52.2667,79.1667,-3.23,89,100,9.83,RU,1731195715
132,Yellowknife,62.456,-114.3525,-13.1,86,100,3.09,CA,1731195717
133,Dwarka,22.2394,68.9678,27.16,67,6,4.71,IN,1731195719
134,As sulayyil,20.4607,45.5779,19.84,42,2,3.25,SA,1731195721
135,Pacific grove,36.6177,-121.9166,16.16,62,0,3.13,US,1731195723
136,Tiksi,71.6872,128.8694,-13.74,93,100,3.22,RU,1731195725
137,Conceicao da barra,-18.5933,-39.7322,24.02,97,100,1.72,BR,1731195727
138,Kapa'a,22.0752,-159.319,28.18,79,75,7.2,US,1731195728
139,Noshiro,40.2039,140.0242,2.46,69,7,1.95,JP,1731195730
140,Puerto madryn,-42.7692,-65.0385,21.95,19,99,9.63,AR,1731195732
141,Alotau,-10.3069,150.4462,29.44,67,100,2.7,PG,1731195734
142,Muroto-misakicho,33.2833,134.15,19.19,67,99,4.49,JP,1731195736
143,Tolanaro,-25.0319,46.9987,24.04,88,20,6.17,MG,1731195738
144,Tura,25.5198,90.2201,18.89,80,0,1.75,IN,1731195739
145,Sao joao da barra,-21.6403,-41.0511,22.01,87,100,6.66,BR,1731195741
146,New norfolk,-42.7826,147.0587,15.95,36,53,3.38,AU,1731195658
147,Puerto ayora,-0.7393,-90.3518,21.97,89,17,2.24,EC,1731195745
148,Ar ruways,24.1103,52.7306,24.05,74,0,1.44,AE,1731195747
149,Apolinario saravia,-24.4328,-63.9954,27.25,56,63,1.68,AR,1731195749
150,Selendi,38.7444,28.8678,6.69,51,80,2.12,TR,1731195750
151,Mount vernon,40.9126,-73.8371,11.47,41,0,0.89,US,1731195686
152,Yeppoon,-23.1333,150.7333,26.69,67,52,5.54,AU,1731195754
153,Taquarana,-9.645,-36.4972,22.76,81,87,6.02,BR,1731195756
154,Mata-utu,-13.2816,-176.1745,27.67,76,80,5.38,WF,1731195758
155,Diawara,15.022,-12.5437,27.68,15,0,3.47,SN,1731195760
156,Kruisfontein,-34.0033,24.7314,15.83,72,100,1.97,ZA,1731195762
157,Susuman,62.7833,148.1667,-30.46,98,98,0.49,RU,1731195764
158,Mufumbwe,-13.6833,24.8,21.27,57,76,1.86,ZM,1731195766
159,Quatre cocos,-20.2078,57.7625,25.06,89,28,4.31,MU,1731195768
160,Angaur state,6.906,134.13,28.93,75,90,3.36,PW,1731195770
161,College,64.8569,-147.8028,-7.01,73,40,1.54,US,1731195771
162,Forster,-32.1667,152.5167,26.88,64,72,2.68,AU,1731195773
163,Carauari,-4.8828,-66.8958,25.09,92,99,1.16,BR,1731195775
164,Hawaiian paradise park,19.5933,-154.9731,27.16,77,40,2.57,US,1731195777
165,Chimore,-16.9833,-65.1333,27.48,65,72,1.05,BO,1731195779
166,Nyrob,60.733,56.7202,-3.48,79,100,5.09,RU,1731195781
167,Nemuro,43.3236,145.575,7.13,76,35,3.96,JP,1731195782
168,San andres,12.5847,-81.7006,29.01,74,40,3.09,CO,1731195784
169,Tazovsky,67.4667,78.7,-7.54,94,100,9.11,RU,1731195786
170,Vorkuta,67.5,64.0,-11.28,86,82,7.26,RU,1731195788
171,Obihiro,42.9172,143.2044,0.67,54,19,0.35,JP,1731195790
172,Badger,64.8,-147.5333,-7.05,81,0,1.54,US,1731195791
173,Fayzabad,37.1166,70.58,9.5,85,100,1.31,AF,1731195793
174,Borgarnes,64.5383,-21.9206,7.46,93,100,2.78,IS,1731195795
175,Puerto leguizamo,-0.1934,-74.7819,24.33,95,76,0.59,CO,1731195797
176,Taulaga,-11.0553,-171.0883,28.17,71,14,1.52,AS,1731195799
177,East london,-33.0153,27.9116,17.12,80,18,2.1,ZA,1731195800
178,Baihar,22.1,80.55,16.6,76,0,0.8,IN,1731195802
179,Montesilvano marina,42.5167,14.15,15.04,90,100,3.13,IT,1731195804
180,Kodiak,57.79,-152.4072,3.73,87,100,12.86,US,1731195806
181,Taoudenni,22.6783,-3.9836,23.91,21,65,5.51,ML,1731195808
182,Howard springs,-12.497,131.047,31.04,79,12,2.48,AU,1731195809
183,Puerto deseado,-47.7503,-65.8938,16.11,27,43,13.08,AR,1731195811
184,Tchintabaraden,15.8969,5.7985,22.04,20,22,4.7,NE,1731195813
185,Malanje,-9.5402,16.341,18.04,99,97,1.65,AO,1731195815
186,Lebu,-37.6167,-73.65,11.07,88,90,2.47,CL,1731195817
187,Al kharijah,25.4514,30.5464,17.62,45,0,3.08,EG,1731195818
188,Oswego,43.4501,-76.1497,1.64,90,4,0.87,US,1731195820
189,El granada,37.5027,-122.4694,19.68,52,0,3.09,US,1731195822
190,Rikaze,29.25,88.8833,1.08,63,0,1.36,CN,1731195824
191,Crucecita,-28.95,-58.9833,20.69,57,0,4.02,AR,1731195826
192,Calama,-22.4667,-68.9333,20.27,11,0,12.35,CL,1731195827
193,Katsuren-haebaru,26.3369,127.8719,26.72,90,75,3.09,JP,1731195829
194,Alappuzha,9.49,76.3264,25.26,85,90,2.73,IN,1731195831
195,Tsiombe,-25.3,45.4833,21.89,86,9,1.34,MG,1731195833
196,Mount gambier,-37.8333,140.7667,17.41,48,7,2.04,AU,1731195835
197,Tangalle,6.024,80.7911,24.46,91,58,1.98,LK,1731195836
198,Barah,13.7,30.3667,24.61,22,2,5.2,SD,1731195838
